;link;hasil
0;https://www.instagram.com/p/CELtE7SHVZf/;['Cinta bermula dr mata, jd gak heran jika cinta pun berakhir dengan air mata..\n\n#canon #canonindonesia #canonphotography #canon5dmarkiv #canon700d #canon50mm #photography #photograph #photographylovers #photographyeveryday #photographer #instaphoto #instagood #instagram #indonesia_photography #indonesiaphotography #indonesia #lightroom #lightroomedits #surabaya #surabaya#surabayahits #explorsurabaya #exploresurabaya #surabayafotografi #spotfotosurabaya #mangrove #mangrovesurabaya', 'Anjimmmmc pararunten ibu bidaaaan', 'Amazing photo!!! 📸😮📸', 'Aku benci pikiran ku']
1;https://www.instagram.com/p/CopdT8YL1ai/;['Street photography Mangrove finale part\n\nSupport Editing:\n- Adobe Lightroom\n\n📷 photo by: @iamrickyrizkyy\n📍Location: Hutan Mangrove Wonorejo, Surabaya\n\nShot on Camera: Canon Eos M3\n\nInspired ldea: Healing & street photography\n\n#streetphotography\n#exploresurabaya\n#mangrovesurabaya\n#lensafixmeike meike #streetgrammers #moments_in_streetlife #streetmoment #urbanphotography #dreaminstreets #indonesiaphotography #streetphotographyinternational #adobelightroom\n#lightroomindonesia #streetphotography\n#streetphotographyindonesia #streetfashion #photographer #photography #photogram']
2;https://www.instagram.com/p/CbCOOTLpoYH/;['Selamat berakhir pekan meskipun tanpa ayang.\n.\n.\n.\n.\n#lovesuroboyo#suroboyo#aslisuroboyo#suroboyohits#mangrove#mangrovesurabaya#missbbwindonesia#bigsizefashion#bigsizeindo#bigsizeindonesia#bigsizesurabaya#bigsizecantik#bigsizecantik#bigsizelook#cewekgemuk#cewekgendutcantik']
3;https://www.instagram.com/p/CNEGFpyJVDz/;['Mari bercocok taman, membuat rumah ikan....\n\n#pujiastutiagustina\n#ladiesanglercommunity\n#ladiesangler\n#ladiesanglerindonesia\n#ladiesanglersurabaya\n#wildwaterindonesia\n#magrove\n#mangrovesurabaya\n#penghijauan\n#rumahikan', '👍🏿👍🏿👍🏿', 'Salam lestari !!!!!', 'Salam lestari bun.. Semangat, sehat selalu bunda 🙏🏼', 'Semangat terus Bunda.. Saya agendakan kembali dengan kalangan terbatas segera. Salam Lestari 🔥👍🏻🙏💪💪🌱🌱🌱🌱']
4;https://www.instagram.com/p/Cs7_XrmO358/;['81 Persistent goes to MANGROVE !\n•\n•\n•\n#mangrovesurabaya\n#81persistent\n#smpkristenpetra2']
5;https://www.instagram.com/p/CG877Y9BuI4/;['Halo #Koncodishub !\n•\nLong weekend kali ini kalian pergi ke mana nih?\n•\nKalau kalian masih bingung, bisa banget loh pergi berwisata ke hutan mangrove yang ada di Surabaya seperti Ning Anita dan Ning Ike 😃\n•\nSeperti apa sih serunya? Langsung aja tonton video di atas ya 🥰\n\n@dkppsurabaya\n@irvan.iwd\n#dishub #dishubsurabaya #surabaya #edishub #edishubsurabaya #hutanmangrove #mangrovesurabaya #magrovewonorejo #magrovegununganyar #dkppsurabaya #parkirsurabaya', '👏', 'bilik steril g ada isinya', '@trii.ananda ini kan kenangan mu bukan aku:)', 'Akses nang mangrove dalane pas2an, kapan dilebarkan?', 'Bagus idenya ekowisata mangrove.. perlu lbh disosialkan ke masyarakat spy mjd alternatif tempat kunjungan disaat senggang, nggak hanya ke mall.', '@pradityabs salah satu penjaga parkir mangrove wonorejo']
6;https://www.instagram.com/p/CM_NUcWlly5/;['UNIT READY • Tipe Rumah Rinjani adalah tipe rumah 2 lantai. Luas tanah 6x12, luas bangunan 50m persegi. Memiliki desain yang modern, sehingga menjadikan tempat tinggal yang nyaman dan sesuai bagi keluarga anda.\n\nHubungi Kami, Kantor Pemasaran Pusat:\nJl. Wonorejo Kencana Asri II B-05\nWonorejo, Rungkut\nPhone (031) 8707899/8700299\nWhatsApp 08113478877\nEmail: admin@greenlakesurabaya.com\n#GreenLakeSurabaya #MangroveSurabaya #RumahSurabayaTimur #RumahMurahSurabaya #PerumahanSurabaya #MuaraArthaPurnama #MAPGroup', 'Full furnished?', 'Lokasi dimn', 'Lokasi dan harganya brapa kak?', '800 jt type apa dan berapa x berpa?', 'Ukuran brp?', 'Lokasi tepat nya dmana', 'Bisa DM pricelist nya?', 'Luas nya brp? Lokasi dmn', 'Wow🔥', 'Lokasihx dimn ini kak']
7;https://www.instagram.com/p/CrFF9QGpL4s/;['😶\u200d🌫️✨\n\n#mrsimple #liburan #tamasya #travel #travelphotography #photography #traveling #adventure #instagram #photoshoot #naturephotography #trending #explore\n#hutanmangrove #mangrovesurabaya #indonesia #indonesia_photography #model #indahnyaalam #instagramers #instagram #modeling #mensfashion #style #beautiful #cute\n#happy #smile #loveyourself #like #eksploresurabaya', 'send pic on👉@_world_travel.ig', 'SEND PIC 👉👉@indian_travel._.photography']
8;https://www.instagram.com/p/CIdMqLdJHSE/;['#mangrove #mangrovegununganyar #mangrovesurabaya #mangrovesurabayapunya #wisatasurabaya #explorsurabaya #surabaya #surabayahits #bojonegoro #bojonegorohits #bojonegorokekinian #bojonegorostyle', 'Maaf td salah ketik😄', 'Bagus Neng😊👍']
9;https://www.instagram.com/p/CtOoHjIrzrm/;['Mangrove Coffe Talk : Menilik Rehabilitasi dan Restorasi Mangrove untuk Perubahan Iklim\n\nKegiatan di hadiri oleh WKU Kadin Indonesia Bidang Kelautan dan Perikana, Joseph Pangalila, dan 36 perwakilan lembaga, organisasi, dan korporasi yang peduli terhadap kelestatian lingkungan hidup.\n\n#mangroves #mangrovesnapper #easternmangroves #mangrovesurabaya #mangroveswamp #mangrovesnake #mangrovesari #anantaraeasternmangroves #hutanmangrovesurabaya #mangrovesforest #savethemangroves #mangrovestudio #wisatamangrovesurabaya #mangrovesnappers #mangrovesemarang #floridamangroves #redmangroves #easternmangrovespromenade #saveourmangroves #mangrovesarasota #easternmangrovesabudhabi #abudhabimangroves #mangrovesanctuary #mangrovestoplembongan #mangrovesteelband #harimangrovesedunia #mangroveswamps #mangrovesnakes']
10;https://www.instagram.com/p/CtLOTj3PxNm/;['Bayar 10juta langsung dapat rumah! Yuk langsung aja cek unitnya, hunian dua lantai di Surabaya Timur hanya selangkah ke lokasi wisata hutan mangrove, Wonorejo Rungkut. Harga mulai 800jutaan banyak bonus senilai ratusan juta rupiah loh .. 😱\n\nContact us:\nJl. Wonorejo Kencana Asri II B No. 5\nWonorejo, Rungkut\nPhone (031) 8700299\nWhatsApp 08113478877\nEmail: admin@greenlakesurabaya.com\n#GreenLakeSurabaya #MangroveSurabaya #RumahSurabayaTimur #RumahMurahSurabaya #PerumahanSurabaya #MuaraArthaPurnama #MAPGroup', 'DM', 'Dm', 'DM', 'Ukurannya brp', 'Ukuran brp']
11;https://www.instagram.com/p/CtJnl2IS3ME/;['.\nTetangga baru namanya rahmat\nPunya istri namanya cua\nKakek cerita terlalu semangat\nGigi palsunya copot semua 😹\n.\n.\n.\n#mangrove #mangrovesurabaya #eksploresurabaya #surabayahits #surabayakekinian #healing #hobbyfoto #hobbyjalanjalan #senengdolan #ootdfashion #ootdhijab #selrbgramindonesia #selebgramoutfit #selebgram #hutanmangrove', 'Sweeet coment new post❤️🔥', 'Lfl fff auto back😍', 'Spamlike back yah jangan cuman hasthag❤️😂', 'Lfl fff', 'Jadi Pak Rahmat ini sudah kakek kakek gt konsepnya?', 'Fff', 'komentar new post ya', 'Lfl', 'Lfl']
12;https://www.instagram.com/p/CtBE0tZrmGe/;['Setiap cobaan yg datang adalah proses pendewasaan diri🖤\n.\n.\n.\nHAPPY WEEKEND❤️\u200d🔥\n.\n.\n.\n#ekowisatamangrove #ekowisataindonesia #ekowisatajatim #ekowisatabahari #mangrovesurabaya']
13;https://www.instagram.com/p/CsyVfoxv2kV/;
14;https://www.instagram.com/p/CsqwiQtPPdm/;['Sekali2 kencan... bocil-bocil @shakayla_kamila dirumah dulu🤭\n\n#mangrovegununganyar #mangrovesurabaya', 'Prewed kedua🥰 @naylarahmatika']
15;https://www.instagram.com/p/CseRcB5P2tt/;['Belajar matematika di alam.\n#fstuinsa\n#mangrovesurabaya']
16;https://www.instagram.com/p/CsXZ53jhXx7/;['Tanggal Merah Enaknya Jalan-Jalan Kemana ya? 🤔\n\nNih, buat Warga Suroboyo dan sekitarnya, kamu bisa jalan-jalan di tempat wisata Surabaya bareng doi, sahabat atau keluarga\n\nMana yang jadi favoritmu?\nShare di kolom komentar yuk! 😁👇\n\n#Klanting #liburansurabaya #destinasiwisatafavorit #wisatafavoritsurabaya #infosurabaya #aslisuroboyo #rekomendasiwisata #jajananklanting #bubursumsum #mangrovesurabaya #kebunbinatangsurabaya #tempatwisatasurabaya']
17;https://www.instagram.com/p/CsRN7trxF8v/;['Salah satu penghuni Hutan Mangrove Medokan\n\n#instameetpesisirsurabaya #dkppsurabaya #mangrove #mangrovesurabaya #mangrovemedokan']
18;https://www.instagram.com/p/CsFh9RtJE2W/;['Chita 🔥 info Booking ⬇⬇⬇ SURABAYA BARAT 🇮🇩 , tattoo studio | Reservasi : 0895335594614 (fast restpons & Free consults ) .\nArtist : @haris_tattooer\n.\n✔ Bisa request custom design suka suka kalian\n✔ Ada pilihan smalls & tiny tattoo juga\n✔ Bebas tanya2 kok kakk.. gak usahh takut 😍\n✔ Start Minim Price mulai 350K saja loh ??\n✔ Studio kita private room\n✔ Fast respont & friendly pastinya.\n\n#besttattoos #suarasurabaya #bestvacations #tattooyunanikuno #tugupahlawan #hutanbambukeputih #tamansurabaya #tamanbungkulsurabaya #travelersurabaya #monkaselsurabaya #surabayanorthquay #mangrovesurabaya #foodjuction #wisatasurabaya']
19;https://www.instagram.com/p/Cr8Apw1vkXQ/;['Kadang kita menjalani hidup itu harus sesuai logika 🤗🤗\n.\n.\n.\n.\n#myweekend#mangrovesurabaya']
20;https://www.instagram.com/p/Cr7tUD_Phf7/;['Hunting foto lageee ✨\n\n#hutanmangrove #mangrove #dermagamangrove #mangrovesurabaya #surabaya #surabayahits #exploresurabaya #wisatasurabaya #dolansurabaya #jelajahsurabaya #surabayagram #photooftheday #photogram #photoeveryday #naturephotography', 'kurang kemana lgi', 'Masyaallah mode ukhtiiii😍🥰', 'MasyaAllah cantiknya kk😍😍']
21;https://www.instagram.com/p/CrzoE_ah2OA/;['Late Post 🤭\n#mangrovesurabaya']
22;https://www.instagram.com/p/CrzoEVFBBcV/;['Late Post 🤭\n#mangrovesurabaya']
23;https://www.instagram.com/p/CrpmAmqrLfm/;['KASIH CAPTION APA YA???\n@aerostreet\n#mangrovesurabaya\n#surabayacity\n#loveyousurabaya']
24;https://www.instagram.com/p/Crpll4rLsBh/;['BELAJAR MENERIMA KEADAAN TANPA MEMBENCI KENYATAAN 🔥\n#mangrovesurabaya #surabayacity #loveyousurabaya']
25;https://www.instagram.com/p/CriKwJ1LSCl/;['#surabaya #mangrovesurabaya']
26;https://www.instagram.com/p/CrdfBh_PBaR/;['केवल एक नेकदिल आत्मा।✨🍂\n.\n.\n.\n.\n.\n.easternmangroves #mangrovesurabaya #mangroveswamp #mangrovesnake #mangrovesari #anantaraeasternmangroves #hutanmangrovesurabaya #mangrovesfore #public\n#mrcet\n#bvrit']
27;https://www.instagram.com/p/CrSZ4P4v3Ko/;['10 Hari Lagi Promo Berakhir • Ramadan special prices! Dengan total diskon 15% & bonus senilai ratusan juta rupiah. Harga mulai 800jutaan, selangkah ke lokasi wisata hutan mangrove Wonorejo Rungkut. Bonus 2 unit AC, Canopy, Carport, & gratis biaya-biaya senilai ratusan juta rupiah pula. Yuk cek lokasinya!\n\nHanya di Green Lake Natural Living, Rungkut, Surabaya.\n\nContact us:\nJl. Wonorejo Kencana Asri II B No. 5\nWonorejo, Rungkut\nPhone (031) 8700299\nWhatsApp 08113478877\nEmail: admin@greenlakesurabaya.com\n#GreenLakeSurabaya #MangroveSurabaya #RumahSurabayaTimur #RumahMurahSurabaya #PerumahanSurabaya #MuaraArthaPurnama #MAPGroup']
28;https://www.instagram.com/p/Cq4-4nmreYb/;"[""“If there are no mangroves, then the sea will have no meaning. It's like a tree with no roots, for the mangroves are the roots of the sea!”.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.\n.#mangroves #mangrovesnapper #easternmangroves #mangrovesurabaya #mangroveswamp #mangrovesnake #mangrovesari #anantaraeasternmangroves #hutanmangrovesurabaya #mangrovesforest #savethemangroves #mangrovestudio #wisatamangrovesurabaya #mangrovesnappers #mangrovesemarang #floridamangroves #redmangroves #easternmangrovespromenade #saveourmangroves #mangrovesarasota #easternmangrovesabudhabi #abudhabimangroves #mangrovestoplembongan #mangrovesteelband #harimangrovesedunia #mangroveswamps #mangrovesnakes #easternmangroveshotel #inthemangroves #mangrovestour""]"
