;link;hasil
0;https://twitter.com/ngopibareng_id/status/1667417825445814276;['Gubernur Jawa Timur Khofifah Indar Parawansa punya saran wisata yang mudah dijangkau, warga Surabaya di akhir pekan. Hutan Mangrove Gunung Anyar.']
1;https://twitter.com/imediacyber/status/1667413564133629953;['Gubernur Khofifah: Cobain Berkunjung ke Hutan Mangrove Gunung Anyar']
2;https://twitter.com/JatimPemprov/status/1667372991494385665;['Memperingati Hari Lingkungan Hidup Sedunia, Gubernur Jawa Timur, Khofifah Indar Parawansa bersama PLN Unit Induk Distribusi (UID) Jawa Timur menggelar konvoi 100 motor listrik dari Gedung Negara Grahadi menuju Taman Mangrove Gunung Anyar Surabaya, Jumat (9/6/2023).\n@KhofifahIP']
3;https://twitter.com/plndisjatim/status/1667313329545818112;"['""Serentak hari ini di 8 lokasi yakni kawasan mangrove Gunung Anyar, Pantai Boom Banyuwangi, Pantai Beach Forest Situbondo, Pantai Pancet Dor Pacitan, Pantai Kelapa Tuban, Pantai Kutang Lamongan, Sungai Kalitekung Cemandi, dan Pantai Kenjeran.']"
4;https://twitter.com/superradioid/status/1667105200039948288;['SR, Surabaya – Dalam rangka peringatan Hari Lingkungan Hidup Sedunia 2023, Gubernur Jawa Timur, Khofifah Indar Parawansa bersama PT PLN melakukan penanaman 20.000 ribu pohon mangrove jenis bakau, di Kawasan Hutan Mangrove Gunung Anyar, Surabaya.\n\nhttps://superradio.id/khofifah-bersama-pt-pln-lakukan-penanaman-20-ribu-mangrove-di-gunung-anyar-surabaya/…']
5;https://twitter.com/darjofess/status/1662844932137287682;['sdf! yang mau jalan-jalan ke mangrove gunung anyar atau romokalisari adventure Dan butuh fotografer buat dokumentasi liburan atau hunting ceria bisa dm \n@moikhsan\n atau mau ke destinasi liburan lain dalam kota Dan luar kota juga bisa  yuk abadikan moment liburanmu']
6;https://twitter.com/moikhsan/status/1662843523035725825;['Mangrove gunung anyar']
7;https://twitter.com/sbyfess/status/1662821039150080001;['-rek yang mau jalan-jalan ke mangrove gunung anyar atau romokalisari adventure Dan butuh fotografer buat dokumentasi liburan atau hunting ceria bisa dm \n@moikhsan\n atau mau ke destinasi liburan lain dalam kota Dan luar kota juga bisa  yuk abadikan moment liburanmu']
8;https://twitter.com/moikhsan/status/1660633396547317768;['Tunjungan,Naik bus ssct di balai pemuda, alun-alun sby,north quey,hutan mangrove wonorejo,gunung anyar, romokalisari adventure,museum (iki seng paling recommend),kulineran di ampel,TP,angkirngan cak mis,Naik perahu malam Hari di kalimas,kenjeran,kbs,kodam,pusat thrift gembong']
9;https://twitter.com/moikhsan/status/1660222763335057413;['Mangrove gunung anyar']
10;https://twitter.com/moikhsan/status/1659475797655314432;['Jadi pengen jalan-jalan ke mangrove gunung anyar lagi']
11;https://twitter.com/_fiqihna/status/1649240187728429056;['Mangrove Wonorejo dan Gunung Anyar']
12;https://twitter.com/etalasekata/status/1647839111812907013;['Kawasan wisata hutan bakau Mangrove Gunung Anyar.\n\n#mangrove #green #hutanbakau #surabaya #streetstories #streetphotography #photography #photooftheday']
13;https://twitter.com/felisaelrida/status/1647506368532975616;['surabaya date :\n- Kodam Brawijaya\n- Mlaku2 nang Tunjungan\n- Bonbin/Surabaya zoo\n- Mangrove Wonorejo/Gunung Anyar/Medokan Ayu\n- Surabaya North Quay\n- Surabaya Museum\n- House of Sampoerna\n- Tugu Pahlawan\n- Masjid Ampel\n- Kenjeran Park\n- Monumen Kapal Selam\n\ndll masih banyak']
14;https://twitter.com/kudosaiii/status/1644941716808671232;['hutan mangrove gunung anyar']
15;https://twitter.com/Abim_95/status/1644640888914849794;['Mangrove Gunung Anyar keknya ya?']
16;https://twitter.com/_h4dr/status/1638355266516434944;['Setelah 3 kali usaha dalam 2 tahun terakhir gagal masuk kesini. Akhirnya dibuka juga. Piknik di\nHutan Mangrove Gunung Anyar']
17;https://twitter.com/Youthssfm/status/1633286320566190080;['4. Ekowisata Mangrove Gunung Anyar \n\nFasilitas di Ekowisata Mangrove Gunung Anyar, yaitu area jogging track sepanjang, wisata perahu, menara pantau setinggi 12 meter, spot foto. Selain itu, terdapat kegiatan penanaman dan pembibitan mangrove sebagai bentuk pencegahan abrasi.']
