;Unnamed: 0;link;hasil;sentiment
0;0.0;https://www.instagram.com/p/CELtE7SHVZf/;cinta   mata   heran  cinta    air mata anjimmmmc pararunten  bidaaaan amazing photo camera  flash face  open mouth camera  flash  benci pikiran ku;0
1;1.0;https://www.instagram.com/p/CopdT8YL1ai/;street photography  finale part nsupport editing adobe lightroom camera photo  round pushpin location     nshot  camera canon eos ninspired ldea healing street photography meike;1
2;2.0;https://www.instagram.com/p/CbCOOTLpoYH/;selamat  pekan   ayang;1
3;4.0;https://www.instagram.com/p/Cs7_XrmO358/;persistent goes  ;1
4;5.0;https://www.instagram.com/p/CG877Y9BuI4/;halo nlong weekend kali   pergi    nkalau   bingung  banget loh pergi berwisata         ning anita  ning ike grinning face  big eyes nseperti  sih serunya langsung  tonton video   smiling face  hearts iwd clapping hands bilik steril  isinya ananda   kenangan mu   akses nang  dalane pasan  dilebarkan bagus idenya     disosialkan  masyarakat  mjd alternatif  kunjungan disaat senggang    mall salah  penjaga parkir  ;2
5;7.0;https://www.instagram.com/p/CrFF9QGpL4s/;face without mouth  fog sparkles send pic  backhand index pointing right world travel ig send pic backhand index pointing right backhand index pointing right travel photography;1
6;8.0;https://www.instagram.com/p/CIdMqLdJHSE/;maaf  salah ketik grinning face  smiling eyes bagus neng smiling face  smiling eyes thumbs ;1
7;9.0;https://www.instagram.com/p/CtOoHjIrzrm/; coffe talk menilik rehabilitasi  restorasi   perubahan iklim nkegiatan  hadiri  wku kadin  bidang kelautan  perikana joseph pangalila  perwakilan lembaga organisasi  korporasi  peduli  kelestatian lingkungan hidup;1
8;11.0;https://www.instagram.com/p/CtJnl2IS3ME/;ntetangga  namanya rahmat npunya istri namanya cua nkakek cerita  semangat ngigi palsunya copot  cat  tears  joy sweeet komentar new post red heart fire   auto back smiling face  heart eyes spamlike back  cuman hasthag red heart face  tears  joy     rahmat   kakek kakek  konsepnya  komentar new post  ;1
9;12.0;https://www.instagram.com/p/CtBE0tZrmGe/; cobaan    proses pendewasaan  black heart nhappy weekend red heart  fire;0
10;14.0;https://www.instagram.com/p/CseRcB5P2tt/;belajar matematika  alam;1
11;15.0;https://www.instagram.com/p/CsXZ53jhXx7/;tanggal merah enaknya jalan jalan  thinking face nnih  warga      jalan jalan   wisata  bareng doi sahabat  keluarga nmana   favoritmu nshare  kolom komentar ayo beaming face  smiling eyes backhand index pointing ;2
12;16.0;https://www.instagram.com/p/CsRN7trxF8v/;salah  penghuni   ;0
13;17.0;https://www.instagram.com/p/CsFh9RtJE2W/;chita fire info booking  arrow  arrow  arrow  barat  tattoo studio reservasi fast restpons free consults nartist tattooer check mark  request custom design suka suka  check mark  pilihan smalls tiny tattoo  check mark bebas      takut smiling face  heart eyes check mark start minim price   loh check mark studio  private room check mark fast respont friendly pastinya;1
14;18.0;https://www.instagram.com/p/Cr8Apw1vkXQ/;kadang  menjalani hidup   sesuai logika smiling face  open hands smiling face  open hands;1
