;link;hasil;sentiment
0;https://www.instagram.com/p/CELtE7SHVZf/;cinta   mata   heran  cinta    air mata anjimmmmc pararunten  bidaaaan amazing photo camera  flash face  open mouth camera  flash  benci pikiran ku;0
1;https://www.instagram.com/p/CopdT8YL1ai/;street photography  finale part nsupport editing adobe lightroom camera photo  round pushpin location     nshot  camera canon eos ninspired ldea healing street photography meike;1
2;https://www.instagram.com/p/CbCOOTLpoYH/;selamat  pekan   ayang;1
4;https://www.instagram.com/p/Cs7_XrmO358/;persistent goes  ;1
5;https://www.instagram.com/p/CG877Y9BuI4/;halo nlong weekend kali   pergi    nkalau   bingung  banget loh pergi berwisata         ning anita  ning ike grinning face  big eyes nseperti  sih serunya langsung  tonton video   smiling face  hearts iwd clapping hands bilik steril  isinya ananda   kenangan mu   akses nang  dalane pasan  dilebarkan bagus idenya     disosialkan  masyarakat  mjd alternatif  kunjungan disaat senggang    mall salah  penjaga parkir  ;2
7;https://www.instagram.com/p/CrFF9QGpL4s/;face without mouth  fog sparkles send pic  backhand index pointing right world travel ig send pic backhand index pointing right backhand index pointing right travel photography;1
8;https://www.instagram.com/p/CIdMqLdJHSE/;maaf  salah ketik grinning face  smiling eyes bagus neng smiling face  smiling eyes thumbs ;1
9;https://www.instagram.com/p/CtOoHjIrzrm/; coffe talk menilik rehabilitasi  restorasi   perubahan iklim nkegiatan  hadiri  wku kadin  bidang kelautan  perikana joseph pangalila  perwakilan lembaga organisasi  korporasi  peduli  kelestatian lingkungan hidup;1
11;https://www.instagram.com/p/CtJnl2IS3ME/;ntetangga  namanya rahmat npunya istri namanya cua nkakek cerita  semangat ngigi palsunya copot  cat  tears  joy sweeet komentar new post red heart fire   auto back smiling face  heart eyes spamlike back  cuman hasthag red heart face  tears  joy     rahmat   kakek kakek  konsepnya  komentar new post  ;1
12;https://www.instagram.com/p/CtBE0tZrmGe/; cobaan    proses pendewasaan  black heart nhappy weekend red heart  fire;0
14;https://www.instagram.com/p/CseRcB5P2tt/;belajar matematika  alam;1
15;https://www.instagram.com/p/CsXZ53jhXx7/;tanggal merah enaknya jalan jalan  thinking face nnih  warga      jalan jalan   wisata  bareng doi sahabat  keluarga nmana   favoritmu nshare  kolom komentar ayo beaming face  smiling eyes backhand index pointing ;2
16;https://www.instagram.com/p/CsRN7trxF8v/;salah  penghuni   ;0
17;https://www.instagram.com/p/CsFh9RtJE2W/;chita fire info booking  arrow  arrow  arrow  barat  tattoo studio reservasi fast restpons free consults nartist tattooer check mark  request custom design suka suka  check mark  pilihan smalls tiny tattoo  check mark bebas      takut smiling face  heart eyes check mark start minim price   loh check mark studio  private room check mark fast respont friendly pastinya;1
18;https://www.instagram.com/p/Cr8Apw1vkXQ/;kadang  menjalani hidup   sesuai logika smiling face  open hands smiling face  open hands;1
19;https://www.instagram.com/p/Cr7tUD_Phf7/;hunting foto lageee sparkles   masyaallah mode ukhtiiii smiling face  heart eyes smiling face  hearts masyaallah cantiknya kakak smiling face  heart eyes smiling face  heart eyes;1
20;https://www.instagram.com/p/CrzoE_ah2OA/;late post face  hand  mouth;1
21;https://www.instagram.com/p/CrzoEVFBBcV/;late post face  hand  mouth;1
22;https://www.instagram.com/p/CrpmAmqrLfm/;kasih caption ;1
23;https://www.instagram.com/p/Crpll4rLsBh/;belajar menerima   membenci kenyataan fire;0
24;https://www.instagram.com/p/CriKwJ1LSCl/;;1
25;https://www.instagram.com/p/CrdfBh_PBaR/;sparkles fallen leaf easternmangroves;1
27;https://www.instagram.com/p/Cq4-4nmreYb/;    mangroves   sea    meaning  like tree   roots   mangroves   roots   sea;1
29;https://www.instagram.com/p/Cq2HOtcIj58/;scale model demonstrating   forests protect  coast  wave damage;2
30;https://www.instagram.com/p/CqM1_a9LZuo/;prewedding  miya nfg photo;1
31;https://www.instagram.com/p/CqM1gFbLtM5/;prewedding  miya nfg photo;1
32;https://www.instagram.com/p/CqM1rbErP1m/;prewedding  miya nfg photo;1
34;https://www.instagram.com/p/Cp9P-bgJnTC/;face  rolling eyes cross mark cross mark cross mark check mark  grinning face  sweat victory hand light skin tone  winking face backhand index pointing right records send  dm us backhand index pointing right lovers ig dizzy;1
36;https://www.instagram.com/p/CppgahNv_Oa/;wiken vakansi sailing bagus fotonya;2
38;https://www.instagram.com/p/CpfxifKvi4l/;mangroves click nest  love  feed dm us  feature camera  flash red heart;2
39;https://www.instagram.com/p/CpZ_O4Cr5JG/;   friends remarkable nimage  would certainly like  deal    nmuch  info message  major account   nbio wih dadih arek seleb saiki rehh raising hands;1
41;https://www.instagram.com/p/CpXaoe-hn6Z/;seleranya    centi rolling   floor laughing zany face mending    sudah beaming face  smiling eyes thumbs ;1
44;https://www.instagram.com/p/Co9pAdFBKTO/;;1
45;https://www.instagram.com/p/Co4zfrMvwLn/;saribuahmangrove;1
46;https://www.instagram.com/p/CoyZHlRS9jw/;   pushpin nfujifilm camera  flash nindonesian country  npresent lightroom dizzy send pic  backhand index pointing right hubungan;1
52;https://www.instagram.com/p/CntSCwwP3Nr/;selamat   imlek gong xi fa cai red paper lantern red paper lantern red paper lantern;1
53;https://www.instagram.com/p/Cnd02AKPE-C/;announcement voucher senilai idr pemenang  via nhadiah  diambil besok  fas cafe selasa rabu januari  wib jam operasional  membawa bukti log  akun selamat   pemenang terima kasih   partisipasinya  peserta    berkecil hati  mencoba dilain kesempatan maturnuwun ninfo   nji  kencana asri il  nwonorejo  nphone nwhatsapp nemail admin com  alhamdulillah thanx  partying face alhamdulillah terima kasih ;1
54;https://www.instagram.com/p/CnbzonAv44S/;sunflower honeybee cantik pol face  hand  mouth face  tears  joy;2
61;https://www.instagram.com/p/CXIRyrUva-a/;menikmati keindahan alam  bentuk  cinta tanah air green heart  buset efek face  tears  joy face  tears  joy;2
62;https://www.instagram.com/p/CnG9Q2Oh7pr/;;1
84;https://www.instagram.com/p/Cm11vIHv55N/;happy new year cheers  health happiness  prosperity ;1
85;https://www.instagram.com/p/CmvRIkOpYvd/;  fallen leaf;1
86;https://www.instagram.com/p/CmsfSdyI2X3/;megaphone untold stories   islamic revolution israel outlying islands   america  israel afraid   islamic revolution  iran key    truth   islamic revolution  iran gem stone    purpose   formation   islamic revolution star  david america europe  israel hide  truth   islamic revolution  iran heart exclamation  build model society  justice   formation   revolution shows    imam mahdi appears   establish perfect justice   world like  society   perfect;1
87;https://www.instagram.com/p/CmqRlZ2p2ED/;sekedar melepas penat hiruk pikuknya perkotaan    ;2
89;https://www.instagram.com/p/CmlI1ofPgSW/;;1
90;https://www.instagram.com/p/Cma3JyDNp-i/;chacahua   mexico;1
91;https://www.instagram.com/p/CmYhQ6LhzFc/; bumi bhakti fondation  team relawan   kegiatan aksi tanam pohon  rhizopora salam lestari ijo royo royo alam semesta id;1
95;https://www.instagram.com/p/ClvCqwdvT35/;;1
96;https://www.instagram.com/p/ClvA00PvHD_/;;1
97;https://www.instagram.com/p/ClvAIjEPnl_/;;1
99;https://www.instagram.com/p/Cla94FTpWu3/;pain  temporary momories last forever;1
100;https://www.instagram.com/p/ClW7StXhZWp/;sekejap melepas penat hiruk pikuk kota round pushpin    modelnya    tempatnya face  tears  joy;2
101;https://www.instagram.com/p/ClK-YC-PRc6/;weekend mood spread good vibes  everyone  common biru flying around ;2
102;https://www.instagram.com/p/ClKWn2SPFuQ/;isuk isuk gek udan;1
105;https://www.instagram.com/p/CkvtHEJPk8s/;senja  sontoh laut teluk lamong nun  disana pile   containers  view pushpin kampung wisata sontoh laut;1
106;https://www.instagram.com/p/CkrwZEApZ4K/;jadikan konten  informatif  video menarik  dikemas padat berisi voice  talent     orang  nbikin konten  menyenangkan  bukaaannn ncontent video project  feat lemon apps;1
107;https://www.instagram.com/p/CkhxiKlSmWh/; weak   strong    ugly sometimes look pretty beaming face  smiling eyes   lonely   sok many love red heart nmy life full  scared   memakai  brave;1
110;https://www.instagram.com/p/Cjk5dmYP2ro/;repost  gadiajak crying face;1
115;https://www.instagram.com/p/CjHrmR0vrj7/;announcement photo video competition vertical garden green lake natural living stage ladies  gentlemen please welcome njuara njuara njuara nfoto video favorit hang nhadiah  diambil besok sabtu oktober  wib jam operasional kantor  membawa bukti log  akun pribadi membawa soft copy file asli  celana  flashdisk selamat   pemenang terima kasih   partisipasinya  peserta    berkecil hati  mencoba dilain kesempatan maturnuwun folded hands ninfo   nji  kencana asri il  nwonorejo  nphone nwhatsapp nemail admin com  halo   pengambilan hadiah besok   ketemu   disana  pengambilan hadiahnyadi sebelah    lihat    penyelenggara lomba mengadakan bebarengan  lomba foto  video    juaranya kebanyakan video   protes   pembuatan video    usaha ekstra      konsep  editing    protes  kalo  salah  pemenang    penghuni  kejadian      penyelenggara    harap maklumin  fair ajalah   karya    menarik perhatian  mata juri;2
