Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.44837641288980357
75% Corpus,2,0.01,0.31,0.3499611415632118
75% Corpus,2,0.01,0.61,0.5533596413237125
75% Corpus,2,0.01,0.9099999999999999,0.48706448524323304
75% Corpus,2,0.01,symmetric,0.4887769675192301
75% Corpus,2,0.31,0.01,0.40490016815056584
75% Corpus,2,0.31,0.31,0.35456088406544384
75% Corpus,2,0.31,0.61,0.3664731667407475
75% Corpus,2,0.31,0.9099999999999999,0.3960002431631416
75% Corpus,2,0.31,symmetric,0.41452031825161095
75% Corpus,2,0.61,0.01,0.43633509694919015
75% Corpus,2,0.61,0.31,0.4304633982986491
75% Corpus,2,0.61,0.61,0.43046339829864905
75% Corpus,2,0.61,0.9099999999999999,0.4381373449336842
75% Corpus,2,0.61,symmetric,0.43046339829864905
75% Corpus,2,0.9099999999999999,0.01,0.411350023735446
75% Corpus,2,0.9099999999999999,0.31,0.4374557939579492
75% Corpus,2,0.9099999999999999,0.61,0.41437627848027914
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.467874734207493
75% Corpus,2,0.9099999999999999,symmetric,0.4143762784802792
75% Corpus,2,symmetric,0.01,0.4085576670487825
75% Corpus,2,symmetric,0.31,0.35741656250967113
75% Corpus,2,symmetric,0.61,0.4304633982986491
75% Corpus,2,symmetric,0.9099999999999999,0.45225581030650974
75% Corpus,2,symmetric,symmetric,0.4320005629304906
75% Corpus,2,asymmetric,0.01,0.40485161711494766
75% Corpus,2,asymmetric,0.31,0.48871920100522415
75% Corpus,2,asymmetric,0.61,0.4381373449336842
75% Corpus,2,asymmetric,0.9099999999999999,0.4414929778307757
75% Corpus,2,asymmetric,symmetric,0.41738700897198927
75% Corpus,3,0.01,0.01,0.4127395376636949
75% Corpus,3,0.01,0.31,0.5656762628546685
75% Corpus,3,0.01,0.61,0.596488696409247
75% Corpus,3,0.01,0.9099999999999999,0.5622870921902361
75% Corpus,3,0.01,symmetric,0.5656762628546685
75% Corpus,3,0.31,0.01,0.3919188722178443
75% Corpus,3,0.31,0.31,0.5030370206994336
75% Corpus,3,0.31,0.61,0.4964068138022064
75% Corpus,3,0.31,0.9099999999999999,0.4964068138022064
75% Corpus,3,0.31,symmetric,0.48467125282362655
75% Corpus,3,0.61,0.01,0.40285971489195277
75% Corpus,3,0.61,0.31,0.412783412811126
75% Corpus,3,0.61,0.61,0.40889078913479504
75% Corpus,3,0.61,0.9099999999999999,0.4100744562966166
75% Corpus,3,0.61,symmetric,0.5774225221763377
75% Corpus,3,0.9099999999999999,0.01,0.38750272897887156
75% Corpus,3,0.9099999999999999,0.31,0.37212735568895855
75% Corpus,3,0.9099999999999999,0.61,0.4064759163021125
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.40852422346203804
75% Corpus,3,0.9099999999999999,symmetric,0.412783412811126
75% Corpus,3,symmetric,0.01,0.397509512951032
75% Corpus,3,symmetric,0.31,0.4548892963941085
75% Corpus,3,symmetric,0.61,0.4964068138022064
75% Corpus,3,symmetric,0.9099999999999999,0.4979054956352232
75% Corpus,3,symmetric,symmetric,0.5014211820754472
75% Corpus,3,asymmetric,0.01,0.36159028968002455
75% Corpus,3,asymmetric,0.31,0.5053597734435945
75% Corpus,3,asymmetric,0.61,0.44762995323009847
75% Corpus,3,asymmetric,0.9099999999999999,0.4610631044559017
75% Corpus,3,asymmetric,symmetric,0.4585235488400436
75% Corpus,4,0.01,0.01,0.41577389908518403
75% Corpus,4,0.01,0.31,0.44398752793934554
75% Corpus,4,0.01,0.61,0.4150771463954729
75% Corpus,4,0.01,0.9099999999999999,0.4142393459745499
75% Corpus,4,0.01,symmetric,0.35829155862341655
75% Corpus,4,0.31,0.01,0.40653415235238155
75% Corpus,4,0.31,0.31,0.42842423773140653
75% Corpus,4,0.31,0.61,0.548905717391775
75% Corpus,4,0.31,0.9099999999999999,0.473042844056217
75% Corpus,4,0.31,symmetric,0.5027475479683361
75% Corpus,4,0.61,0.01,0.41792223575400744
75% Corpus,4,0.61,0.31,0.48922729115819463
75% Corpus,4,0.61,0.61,0.5290014269005219
75% Corpus,4,0.61,0.9099999999999999,0.558139795585849
75% Corpus,4,0.61,symmetric,0.5453382869256782
75% Corpus,4,0.9099999999999999,0.01,0.3936963679835106
75% Corpus,4,0.9099999999999999,0.31,0.4903120664313195
75% Corpus,4,0.9099999999999999,0.61,0.4919603075428829
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4898378864786101
75% Corpus,4,0.9099999999999999,symmetric,0.5120475509960849
75% Corpus,4,symmetric,0.01,0.4115955630739916
75% Corpus,4,symmetric,0.31,0.5186499973130615
75% Corpus,4,symmetric,0.61,0.4424131961732144
75% Corpus,4,symmetric,0.9099999999999999,0.5592286394782666
75% Corpus,4,symmetric,symmetric,0.4018281556808322
75% Corpus,4,asymmetric,0.01,0.41918181679310057
75% Corpus,4,asymmetric,0.31,0.5690841720943709
75% Corpus,4,asymmetric,0.61,0.5568225362825245
75% Corpus,4,asymmetric,0.9099999999999999,0.5414300040218487
75% Corpus,4,asymmetric,symmetric,0.5517024658810615
75% Corpus,5,0.01,0.01,0.4092324617912282
75% Corpus,5,0.01,0.31,0.5376820043835003
75% Corpus,5,0.01,0.61,0.515683164491651
75% Corpus,5,0.01,0.9099999999999999,0.4965056868218616
75% Corpus,5,0.01,symmetric,0.4728698954375906
75% Corpus,5,0.31,0.01,0.4196772109878018
75% Corpus,5,0.31,0.31,0.4612461989627873
75% Corpus,5,0.31,0.61,0.5279469941703343
75% Corpus,5,0.31,0.9099999999999999,0.559507111662328
75% Corpus,5,0.31,symmetric,0.42531708615389485
75% Corpus,5,0.61,0.01,0.43706564240564233
75% Corpus,5,0.61,0.31,0.4426876138747726
75% Corpus,5,0.61,0.61,0.5178529386830665
75% Corpus,5,0.61,0.9099999999999999,0.5284143015748042
75% Corpus,5,0.61,symmetric,0.5001745580097422
75% Corpus,5,0.9099999999999999,0.01,0.4334347118441211
75% Corpus,5,0.9099999999999999,0.31,0.4586832304485947
75% Corpus,5,0.9099999999999999,0.61,0.5150538022412696
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5160752789814185
75% Corpus,5,0.9099999999999999,symmetric,0.4693467206550396
75% Corpus,5,symmetric,0.01,0.4267610169742756
75% Corpus,5,symmetric,0.31,0.47825367337933117
75% Corpus,5,symmetric,0.61,0.5786433992371485
75% Corpus,5,symmetric,0.9099999999999999,0.5764980659331014
75% Corpus,5,symmetric,symmetric,0.508440642609322
75% Corpus,5,asymmetric,0.01,0.42773150213443634
75% Corpus,5,asymmetric,0.31,0.5214130099436117
75% Corpus,5,asymmetric,0.61,0.5164619219352009
75% Corpus,5,asymmetric,0.9099999999999999,0.5165195035912703
75% Corpus,5,asymmetric,symmetric,0.48821690101234677
75% Corpus,6,0.01,0.01,0.44042000923476293
75% Corpus,6,0.01,0.31,0.5094823717400647
75% Corpus,6,0.01,0.61,0.5279222734391469
75% Corpus,6,0.01,0.9099999999999999,0.5296984815031075
75% Corpus,6,0.01,symmetric,0.5015494267549389
75% Corpus,6,0.31,0.01,0.45366834958382823
75% Corpus,6,0.31,0.31,0.5240033450715027
75% Corpus,6,0.31,0.61,0.43776282852514625
75% Corpus,6,0.31,0.9099999999999999,0.5452249606265515
75% Corpus,6,0.31,symmetric,0.5063899768918522
75% Corpus,6,0.61,0.01,0.43062938316196414
75% Corpus,6,0.61,0.31,0.4890448487520296
75% Corpus,6,0.61,0.61,0.4975722356990561
75% Corpus,6,0.61,0.9099999999999999,0.5243313550625875
75% Corpus,6,0.61,symmetric,0.5077812498384134
75% Corpus,6,0.9099999999999999,0.01,0.4135754487919044
75% Corpus,6,0.9099999999999999,0.31,0.48381946954356453
75% Corpus,6,0.9099999999999999,0.61,0.4892450057966702
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.48485694965978804
75% Corpus,6,0.9099999999999999,symmetric,0.4789835246068203
75% Corpus,6,symmetric,0.01,0.4270427374945396
75% Corpus,6,symmetric,0.31,0.4873932162050982
75% Corpus,6,symmetric,0.61,0.4879550651026629
75% Corpus,6,symmetric,0.9099999999999999,0.5307108889936952
75% Corpus,6,symmetric,symmetric,0.48684839536255026
75% Corpus,6,asymmetric,0.01,0.4351859424973196
75% Corpus,6,asymmetric,0.31,0.5203850360981304
75% Corpus,6,asymmetric,0.61,0.5311082374768759
75% Corpus,6,asymmetric,0.9099999999999999,0.5055449438502451
75% Corpus,6,asymmetric,symmetric,0.4821392521122874
75% Corpus,7,0.01,0.01,0.4559745501604865
75% Corpus,7,0.01,0.31,0.517438300975834
75% Corpus,7,0.01,0.61,0.47364102686045123
75% Corpus,7,0.01,0.9099999999999999,0.5499359469891248
75% Corpus,7,0.01,symmetric,0.4924646050622625
75% Corpus,7,0.31,0.01,0.46833546209328697
75% Corpus,7,0.31,0.31,0.4741636766986782
75% Corpus,7,0.31,0.61,0.4783487429721526
